TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
162922904,1931.01,KP,KP,QLP,3.8186276,4282,11.3749,2.03,"10,36,37"
284326455,4618.01,KP,KP,SPOC,3.7998451,1428,13.2747,0.76,"43,44,45"
287563610,840.01,KP,KP,SPOC,3.7993182,2302,8.54839,0.97,"11,37"
122441491,4473.01,KP,KP,SPOC,3.7970075645224,2.525677819147,11.75575787827,0.83263099193573,"40,41,54,55"
286099128,3422.01,KP,KP,QLP,3.7787752176122,3.1399049601604,14.001219934722,1.0289599895477,"8,35,61"
425817867,6681.01,KP,KP,SPOC,3.778340119744,2.8296299895596,13.830537699425,0.86392199993134,67
92226327,256.02,KP,KP,UNKNOWN,3.7779417524726,1.4759325172627,1.5659937175726,0.21553499996662,"3,3"
159725995,4595.01,KP,KP,SPOC,3.7705864541407,3.9149764099662,15.822461965654,1.3818800449371,"40,41,54,55"
32949762,2464.01,KP,KP,SPOC,3.7684981,2727,12.5471,0.87,"6,32,33"
138168780,1651.01,KP,KP,SPOC/QLP,3.7649921,2663,17.7429,1.42,"19,20,26,40,53,59,60"
229047362,767.01,KP,KP,SPOC,3.764873,2.759996,13.95182,0.92,10
111991770,820.01,KP,KP,UNKNOWN,3.752062,3.680056,14.937131,1.48,11
66818296,1050.01,KP,KP,UNKNOWN,3.7354838,4142,21.2315,1.57,"12,38"
85593751,4516.01,KP,KP,SPOC,3.7224625949848,2.5956779729431,11.469485614228,0.82064002752304,"42,58"
103751498,2579.01,KP,KP,CTOI,3.7146478,3835,15.2308,1.32,"14,20,21,40,41,47"
61098812,1833.01,KP,KP,SPOC,3.6935996741677,4.4661849629298,17.008659148324,1.78076004982,"23,46,50"
147797743,6072.01,KP,KP,SPOC,3.6915589899042,2.7207580394596,14.724470805137,1.0878299474716,60
170634116,413.01,KP,KP,UNKNOWN,3.6623917810844,3.7669691908019,17.280556723788,1.4853199720383,"4,5,31,32"
37718056,1908.01,KP,KP,QLP,3.65688,3542,12.8031,1.53,3
35022727,4530.01,KP,KP,SPOC,3.652821,2676,13.0049,0.91,"18,42,43,44"
455096220,489.01,KP,KP,UNKNOWN,3.6466612053081,3.9225178129503,13.284413409708,1.3567199707031,"7,34"
35857242,400.01,KP,KP,UNKNOWN,3.6344447,3871,14.25,1.42,"4,31"
203189770,1198.01,KP,KP,QLP,3.6127714,4142,19.3662,1.71,"14,15,41,55,75"
152476657,415.01,KP,KP,UNKNOWN,3.6112620580968,3.5377447223466,13.613740333181,1.6844300031662,"4,5,30,31"
322307342,117.01,KP,KP,QLP,3.5862961998647,3.3710942972119,16.474761075541,2.0044100284576,"1,2,28,29"
47911178,471.01,KP,KP,UNKNOWN,3.5857076070655,2.7072065408206,15.852590117633,1.3455599546432,"6,33"
311408969,2122.01,KP,KP,SPOC,3.5852283727341,3.0197224053807,14.543182858007,1.0672500133514,"25,26,52,53"
159098316,4475.01,KP,KP,SPOC,3.5787569854633,3.1806501533092,12.141604242483,1.0606199502945,"40,41,54,55"
368805700,5674.01,KP,KP,SPOC,3.5771890897944,3.0669978247034,13.507350579335,1.0635800361633,51
145750719,303.01,KP,KP,QLP,3.5608112,3389,10.4972,1.47,"2,29,42"
159742538,2124.01,KP,KP,SPOC,3.5539283440893,3.6341387898079,21.202807626713,2.0085198879242,"25,26,40,52,53"
268823307,2182.01,KP,KP,CTOI,3.5484480742597,4.5123025406601,15.216501566358,1.7818499803543,"14,15,41,54,55"
336732616,103.01,KP,KP,UNKNOWN,3.547854,3.494333,14.581841,1.4,1
14770122,5098.01,KP,KP,SPOC,3.5438893,3991,19.5349,1.75,"44,45,46"
257567854,403.01,KP,KP,UNKNOWN,3.532822,3.44312,13.474905,1.25,4
